"year","month","cld","drt","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
1901,1,71.9,11.8,25.99,1.1,34.1,63.1,-4.7,1.2,7.1,4.8,12.75
1901,2,70.6,12.5,26.58,1.1,30.8,7,-8.9,-2.6,3.7,3.5,6.86
1901,3,69.4,13.5,20.27,2.4,74.4,83.7,-0.9,5.9,12.7,5.4,10.86
1901,4,74.6,11.7,9.7,2.5,75,159.6,3,8.8,14.7,7.9,14.75
1901,5,72.4,12.1,0,3.3,102.3,150.7,10,16,22.1,13.1,11.48
1901,6,64.8,13.2,0,4.2,126,164.3,14.6,21.2,27.8,17.8,12.85
1901,7,68.4,14.3,0,4.8,148.8,103.1,19.8,26.9,34.1,23.9,11.38
1901,8,68.3,14.4,0,3.9,120.9,173.2,17.5,24.7,31.9,23.3,10.52
1901,9,58.1,15.3,0,2.8,84,98.9,10.1,17.7,25.4,16.5,6.93
1901,10,44.5,17.8,7.61,2.7,83.7,11.2,4,12.9,21.8,9.6,5.06
1901,11,66.4,14.3,23.26,1.4,42,54.7,-2.9,4.3,11.5,5.9,8.43
1901,12,67.6,12.7,26.58,1.2,37.2,117.6,-5.3,1.1,7.5,4.3,17.2
1902,1,69.3,11.4,27.14,1.1,34.1,63.7,-5.9,-0.2,5.5,4.1,13.46
1902,2,73,11.5,26.05,1.2,33.6,97.9,-8,-2.2,3.6,3.5,13.48
1902,3,68.9,14.1,18.19,2.1,65.1,84.9,-0.1,7,14.1,7.3,12.21
1902,4,67,14.4,7.36,3.3,99,69.8,4,11.2,18.4,8,9.49
1902,5,61.3,16.2,0,4.5,139.5,55.2,10.8,18.9,27,13.7,10.9
1902,6,56.3,16.3,0,4.8,144,99,13.6,21.7,29.9,17.8,11.91
1902,7,56.3,14.9,0,5,155,37.3,18.1,25.5,33,21.8,9.51
1902,8,52.7,16.1,0,4.2,130.2,77,14.8,22.8,30.9,20.6,7.52
1902,9,50.4,15.6,0,3.1,93,65.1,10.7,18.5,26.3,16.5,11.83
1902,10,56.8,17.4,6.27,2.4,74.4,103.7,4.6,13.3,22,11.2,12.14
1902,11,65.1,15,9.7,2,60,80.9,3,10.5,18,8.5,10.69
1902,12,74.1,9.7,24.82,1,31,103,-3.6,1.3,6.2,4.9,15.07
1903,1,71,10.4,26.48,0.9,27.9,85.7,-5.2,0,5.2,4.8,13.89
1903,2,65.8,12.8,22.62,1.5,42,85.6,-3.8,2.6,9,5.2,15.45
1903,3,69.1,13.8,7.84,3,93,106.2,3.9,10.8,17.7,7.3,15.83
1903,4,67.9,14.2,5.46,3.3,99,101.1,4.9,12,19.1,8.5,13.22
1903,5,59.3,16,0,4.3,133.3,86.9,10.7,18.7,26.7,14.4,10.48
1903,6,71.4,14.4,0,4,120,206.7,13.2,20.4,27.6,17.2,11.32
1903,7,58.1,14.8,0,4.9,151.9,64.6,17.9,25.3,32.7,21.5,12.07
1903,8,64.5,14.9,0,4.2,130.2,119.4,16.2,23.6,31.1,20,10.29
1903,9,48,15.8,0,3.5,105,57.4,11.7,19.6,27.5,15.9,5.62
1903,10,61.4,16.3,4.09,2.5,77.5,88.3,5.7,13.8,22,10.6,9.95
1903,11,56.4,16.5,23.48,1.7,51,21.8,-3.1,5.2,13.5,5.9,6.06
1903,12,67.9,13,28.4,1,31,27.2,-7.4,-0.9,5.6,4.2,9.72
1904,1,67,12.4,29.24,1.1,34.1,51.8,-8.6,-2.4,3.8,3.4,12.13
1904,2,66.3,12.8,27.24,1.3,37.7,29,-8.4,-2,4.4,3.5,9.45
1904,3,68.8,13.4,18.45,2.6,80.6,54.4,-0.2,6.5,13.2,5.3,11.86
1904,4,68.3,14.2,9.94,3.1,93,66.5,2.9,10,17.1,7.6,11.93
1904,5,63.6,16.3,0,3.9,120.9,81.5,9.9,18,26.2,15,11.19
1904,6,63.4,16.4,0,4.9,147,144.7,14.6,22.8,31,17.7,13.34
1904,7,63.3,15.8,0,4.6,142.6,123.8,16.6,24.5,32.4,21.5,12.77
1904,8,60.5,16.2,0,4.2,130.2,68.9,15.4,23.5,31.6,20.6,10.01
1904,9,51.4,15.7,0,3.6,108,51,12.8,20.6,28.5,16.7,10.93
1904,10,41.5,18,7.38,2.8,86.8,32.1,4.1,13.1,22.1,9.3,7.18
1904,11,61.3,15.7,22.46,1.6,48,32.9,-2.2,5.7,13.6,6.5,8.53
1904,12,73,12.3,28.17,0.9,27.9,69.1,-7.1,-0.9,5.3,4.2,12.71
1905,1,70,12.2,28.55,1.2,37.2,81.9,-7.6,-1.5,4.6,3.5,13.76
1905,2,70.5,11.9,27.16,0.9,25.2,51.8,-10.1,-4.1,1.9,3.5,11.32
1905,3,65.5,14,15.79,2.7,83.7,61,0.8,7.8,14.8,6.1,11.87
1905,4,64,16.7,5.86,3.9,117,54.2,4.7,13,21.4,8.3,11.28
1905,5,68.2,16.2,0,4.3,133.3,104.9,10.7,18.8,26.9,13.8,12.41
1905,6,65.8,17.2,0,5,150,175.1,14.6,23.2,31.8,18.1,12.09
1905,7,68.8,15.8,0,4.6,142.6,121.2,17.2,25.1,33,21.6,16.49
1905,8,64.9,16,0,4.3,133.3,105.7,16.1,24.1,32.1,20.4,15.56
1905,9,52.4,16.2,0,3.5,105,49.2,12,20.1,28.2,16.8,8.19
1905,10,51,18.6,6.71,2.8,86.8,76.8,4.4,13.7,23,10.1,8.6
1905,11,58.4,16.5,21.77,1.8,54,25.5,-1.8,6.5,14.8,6.5,6.62
1905,12,72.2,12.6,25.57,1.1,34.1,103.3,-4.3,2,8.3,5.1,15.01
1906,1,70.5,11.6,22.25,1.5,46.5,61,-1.7,4.1,9.9,5.1,13.45
1906,2,62.3,15.9,24.92,1.7,47.6,27.3,-6.4,1.6,9.6,4.5,9.79
1906,3,79.3,10.2,23.8,1.5,46.5,122.9,-2.7,2.4,7.5,5.3,13.61
1906,4,59.7,17.3,5.86,4.1,123,53.7,4.7,13.3,22,8.3,11.62
1906,5,58.8,16.5,0,4.6,142.6,71.4,10.1,18.3,26.6,12.7,8.83
1906,6,69.2,15.9,0,4.7,141,178.7,15.8,23.7,31.7,20,13.1
1906,7,71.3,15.8,0,4.4,136.4,100,16.6,24.5,32.4,21.5,14.57
1906,8,71.6,13.4,0,3.9,120.9,189.4,18.5,25.2,31.9,23.6,10.05
1906,9,61,15.5,0,3.4,102,54.7,14.1,21.8,29.6,19.1,5.04
1906,10,68.5,14.2,4.45,1.8,55.8,159.4,5.5,12.6,19.7,11.8,11.16
1906,11,61.1,15.6,16.06,2.1,63,45.3,0.5,8.3,16.1,6.5,8.4
1906,12,71.8,11.7,24.71,1.5,46.5,83.7,-3.5,2.4,8.3,4.2,12.58
1907,1,67,12.3,24.6,1.4,43.4,64.4,-3.4,2.8,9,5,12.39
1907,2,67.2,14.1,25.99,1.5,42,53.2,-7.9,-0.8,6.3,3.5,9.46
1907,3,65.6,15.2,11.81,3,93,55.2,2.3,9.9,17.5,7,11.69
1907,4,69.7,14.6,12.44,3,90,99.9,1.9,9.2,16.5,7,12.5
1907,5,66.6,15.9,0.92,4,124,66.2,8,15.9,23.9,11.5,14
1907,6,66.2,15.6,0,4,120,131,11.3,19.1,26.9,16,12.25
1907,7,60.9,15.4,0,4.7,145.7,95.5,16.9,24.6,32.3,21.5,8.39
1907,8,59.3,16.2,0,4.1,127.1,101.6,14.5,22.6,30.7,20,10.94
1907,9,65.3,16.4,0,3.2,96,160.7,12.5,20.7,28.9,18.8,12.66
1907,10,46,18.2,12.6,2.5,77.5,27,2,11.1,20.2,8.9,7.49
1907,11,72,13.1,18.11,1.6,48,98,-0.3,6.3,12.9,6.5,11.31
1907,12,71,12.4,24.93,1.1,34.1,81.2,-3.7,2.5,8.7,5.5,13.59
1908,1,66.4,12.8,27.14,1.1,34.1,84.5,-5.9,0.5,6.9,4.6,12.98
1908,2,71.2,11.9,26.71,1.2,34.8,97.9,-7.6,-1.6,4.4,3.7,13.92
1908,3,66.9,14.8,13.12,2.9,89.9,53.9,1.8,9.2,16.6,6.7,11.84
1908,4,62.1,16.5,4.31,3.9,117,52.5,5.5,13.7,22,8.9,9.31
1908,5,71.8,14.7,0,3.8,117.8,158.8,10.9,18.2,25.6,14.7,15.02
1908,6,55.7,17.3,0,5,150,95.2,13.5,22.1,30.8,17.6,7.57
1908,7,54.8,15.8,0,4.9,151.9,131.8,17.6,25.5,33.4,23.5,10.53
1908,8,62.4,15.7,0,4,124,161.2,15,22.8,30.7,20.6,12.13
1908,9,47.6,16.8,0,3.5,105,58.5,11.2,19.6,28,16.7,9.69
1908,10,46.9,17.8,5.43,2.7,83.7,61.9,5,13.9,22.8,10.8,7.1
1908,11,55.8,16.3,19.37,2,60,23.3,-0.8,7.4,15.6,6.5,5.48
1908,12,71.5,12.4,25.47,1,31,52.7,-4.2,2,8.2,5.5,12.33
1909,1,67.6,11.5,25.68,1.1,34.1,64.1,-4.4,1.4,7.2,4.9,13.01
1909,2,66.1,14.3,19.88,2,56,79.8,-1.6,5.6,12.8,5.5,13.33
1909,3,69.5,13.9,22.01,2.3,71.3,53.9,-1.6,5.4,12.4,5.4,14.39
1909,4,66.3,16.1,6.28,3.6,108,85,4.5,12.5,20.6,8.5,11.28
1909,5,63.9,16,0.04,4.2,130.2,96.1,9.6,17.6,25.6,12.7,12.59
1909,6,66.1,15.9,0,4.8,144,167.5,15.8,23.7,31.7,19.8,11.64
1909,7,49.1,15.8,0,5.1,158.1,34.2,16.1,24,31.9,19.9,8.39
1909,8,53.3,16.8,0,4.3,133.3,84.3,14.3,22.7,31.1,19.4,9.08
1909,9,55.6,16.4,0,3.3,99,67.7,10.9,19.1,27.3,15.9,9.1
1909,10,48.4,19.1,13.12,2.4,74.4,52.5,1.8,11.3,20.9,9.5,6.25
1909,11,58.3,16.8,12.7,2.2,66,15.9,1.8,10.2,18.6,8.1,6.53
1909,12,74.9,12.8,28.7,0.9,27.9,64.8,-7.8,-1.4,5,4.2,12.64
1910,1,68.7,12,27.23,1.1,34.1,103.1,-6,0,6,4.3,16.04
1910,2,68.8,12.3,24.35,1.3,36.4,68,-5.7,0.5,6.7,4.4,11.13
1910,3,57.5,15.5,9.77,3.2,99.2,11.3,3.1,10.8,18.6,7.2,4.96
1910,4,63.5,17,4.49,3.8,114,114.5,5.4,13.9,22.4,9.6,14.89
1910,5,62.8,16.7,0.92,4,124,59.1,8,16.3,24.7,12.7,12.33
1910,6,66.9,14.9,0,4.4,132,185.4,13.2,20.6,28.1,16.2,12.33
1910,7,60.9,15,0,4.7,145.7,123,17,24.5,32,21.5,11.01
1910,8,54.2,15.1,0,4.3,133.3,36.1,15.7,23.2,30.8,20,6.57
1910,9,55.6,15.7,0,3.6,108,29.6,13.9,21.7,29.6,18.5,8.43
1910,10,52.1,18.2,2.75,2.8,86.8,76.2,6.5,15.6,24.7,12,11.79
1910,11,72.1,13.3,22.34,1.3,39,26.3,-2.1,4.6,11.3,6.5,8.47
1910,12,71.9,12.8,29.49,0.7,21.7,47,-9,-2.6,3.8,4.2,11.28
1911,1,66.6,12.6,24.6,1.4,43.4,105.5,-3.4,2.9,9.2,5,13.68
1911,2,69.5,12.9,22.22,1.6,44.8,35.8,-3.4,3.1,9.6,5.2,10.3
1911,3,64.8,15,23.56,2.3,71.3,57,-2.5,5,12.5,5.3,10.12
1911,4,69.2,14.3,9.46,3.1,93,62.5,3.1,10.2,17.4,7.6,11.75
1911,5,51.1,16.4,0,5,155,37.3,12.1,20.3,28.5,14.7,6.62
1911,6,57.2,17,0,5,150,111.2,14.3,22.8,31.3,18.2,12.17
1911,7,43.6,16.8,0,5.5,170.5,76.2,17.1,25.5,33.9,21.8,11.92
1911,8,56.8,16.8,0,4.5,139.5,205.3,16,24.4,32.8,21.2,13.53
1911,9,66.2,15.2,0,3.3,99,48.4,13.9,21.5,29.1,18.6,8.84
1911,10,66.7,13.8,2.17,2.2,68.2,108.6,6.9,13.8,20.7,11.2,10.84
1911,11,70.3,13.7,20.35,1.5,45,66.4,-1.2,5.7,12.6,6.5,11.48
1911,12,71.1,11.1,22.49,1,31,70.8,-1.8,3.8,9.4,6.2,12.95
1912,1,69.6,11.9,30.38,0.8,24.8,49.2,-10.8,-4.8,1.2,3.1,12.58
1912,2,69.2,12.6,26.85,1.3,37.7,39.8,-7.8,-1.5,4.8,3.5,11.23
1912,3,72.4,12.3,21.77,2.1,65.1,118.3,-1.5,4.7,10.9,5.3,15.67
1912,4,69.3,15.1,4.13,3.6,108,61.1,5.6,13.1,20.7,9,11.65
1912,5,64.5,16.1,0,4.1,127.1,118.6,10.2,18.2,26.3,14.3,13.77
1912,6,57.2,16,0,4.8,144,83.2,13.3,21.3,29.3,16.8,11.85
1912,7,61.5,15.2,0,4.6,142.6,101.6,16.7,24.3,31.9,21.5,14.28
1912,8,56.7,15.1,0,4.1,127.1,47.2,15.3,22.8,30.4,20.2,7.71
1912,9,64.5,14.5,0,3.4,102,143.7,14.7,21.9,29.2,18.6,11.66
1912,10,48.3,17.6,3.73,2.7,83.7,17,5.9,14.7,23.5,11.3,4.76
1912,11,62.1,15.9,17.86,2,60,49.5,-0.2,7.8,15.8,6.6,7.91
1912,12,63.6,13.8,25.57,1,31,79.3,-4.3,2.6,9.5,5.9,13.23
1913,1,63.7,14,22.01,1.6,49.6,52.7,-1.6,5.4,12.4,6.1,12.57
1913,2,69.3,14,23.47,1.7,47.6,16,-4.7,2.3,9.3,4.6,9.2
1913,3,65.7,14,11.81,2.8,86.8,116.9,2.3,9.3,16.3,7,14.36
1913,4,66.4,14.5,3.95,3.6,108,91.8,5.7,12.9,20.2,8.6,15.5
1913,5,62.7,15.6,0.01,4.2,130.2,118.1,9.8,17.6,25.4,12.7,13.07
1913,6,54.3,16,0,5.1,153,148.2,14.1,22.1,30.1,16.6,8.74
1913,7,57.6,15.2,0,4.7,145.7,91.1,17,24.6,32.2,21.9,10.01
1913,8,58.4,16.2,0,4.1,127.1,69.1,15.2,23.3,31.4,21,11.7
1913,9,55.7,16.1,0,3.3,99,45.8,11.5,19.5,27.6,16.5,8.52
1913,10,67.8,14.1,1.21,2.3,71.3,102.3,7.7,14.7,21.8,12.1,9
1913,11,62.3,15.1,15.8,1.9,57,87.3,0.6,8.1,15.7,6.9,9.58
1913,12,70.4,12,23.56,1.1,34.1,41.2,-2.5,3.5,9.5,5.9,9.75
1914,1,70.1,11.9,24.37,1.3,40.3,65.9,-3.2,2.8,8.8,5,14.91
1914,2,66.7,13.1,26.58,1.2,33.6,60.9,-8.9,-2.3,4.3,3.5,11.81
1914,3,70.9,12.9,23.68,2,62,53,-2.6,3.9,10.4,5.3,10.04
1914,4,65.8,14.9,6.07,3.7,111,87.6,4.6,12,19.5,7.6,12.13
1914,5,57.8,15.4,0,4.2,130.2,31.3,10.7,18.4,26.1,14.5,8.18
1914,6,52.7,16.7,0,5.3,159,69.6,15.2,23.5,31.9,18.6,13.18
1914,7,58.1,15.4,0,4.6,142.6,66.6,16.5,24.2,31.9,21.7,8.8
1914,8,54,16.2,0,4.4,136.4,73,16.2,24.3,32.4,22,12.48
1914,9,45.9,16.8,0,3.4,102,34.9,10.1,18.5,26.9,15.3,4.63
1914,10,61.5,14.3,0.92,2.4,74.4,39.6,8,15.1,22.3,12.1,7.74
1914,11,57.6,15.2,19.12,1.8,54,46,-0.7,6.9,14.5,6.5,9.42
1914,12,79.6,9.4,27.14,0.8,24.8,104,-5.9,-1.2,3.5,4.2,14.16
1915,1,73,10.6,25.78,0.9,27.9,149,-4.5,0.8,6.1,5.1,17.84
1915,2,69.6,12,21.5,1.5,42,87.8,-2.7,3.3,9.3,5.5,12.24
1915,3,71.4,12.9,24.71,1.8,55.8,20.2,-3.5,3,9.5,5.3,7.62
1915,4,56.9,18.7,4.13,4.4,132,15.6,5.6,14.9,24.3,9.4,7.38
1915,5,68.5,14.8,0.02,3.9,120.9,78.2,9.7,17.1,24.5,12.7,10.11
1915,6,61.1,15.8,0,4.5,135,127.3,13.4,21.3,29.2,17.6,14.75
1915,7,56.4,16.4,0,4.7,145.7,54.2,16,24.2,32.4,22.3,10.6
1915,8,65.7,15.1,0,3.7,114.7,160.9,15,22.5,30.1,21.2,13.73
1915,9,57.1,15.9,0,3.3,99,73.4,13.1,21,29,18.9,7.6
1915,10,60,15.5,1.66,2.5,77.5,85.1,7.3,15,22.8,12,8.79
1915,11,58.8,15.3,15.8,2.1,63,45.7,0.6,8.2,15.9,6.6,7.12
1915,12,72.4,10.6,25.88,1.3,40.3,63.8,-4.6,0.7,6,3.7,12.12
1916,1,63.4,13.1,24.03,1.5,46.5,54.4,-2.9,3.7,10.3,5.1,10.73
1916,2,68.2,12.9,25.04,1.3,37.7,49.2,-5.5,1,7.5,4.8,11.32
1916,3,69.3,14.8,24.26,2.1,65.1,87.6,-3.1,4.3,11.7,5.3,11.52
1916,4,68.3,14.8,6.28,3.5,105,80.2,4.5,11.9,19.3,7.8,11.83
1916,5,68.5,14.4,0,4.2,130.2,68.6,12,19.2,26.4,14.5,10.47
1916,6,63.2,15.1,0,4.4,132,203.6,13.2,20.7,28.3,17,14.51
1916,7,70.2,13.6,0,4.2,130.2,84.3,18,24.8,31.6,23.3,11.93
1916,8,60.2,15.5,0,4.2,130.2,51.9,16.4,24.1,31.9,22,8.94
1916,9,50.1,16.5,0,3.2,96,65.3,10,18.2,26.5,15.9,7.94
1916,10,43.3,15.9,2.04,2.8,86.8,48.9,7,14.9,22.9,10.7,6.92
1916,11,58.6,14.8,13.47,2.2,66,28.2,1.5,8.9,16.3,6.5,9.01
1916,12,65.7,12.4,26.48,1.2,37.2,48.7,-5.2,1,7.2,4.4,13.84
1917,1,67.2,13,25.78,1.3,40.3,53.7,-4.5,2,8.5,4.7,12.66
1917,2,64.6,14.7,24.6,1.8,50.4,49.9,-6,1.4,8.8,3.8,9.96
1917,3,71,14.1,17.66,2.6,80.6,109.7,0.1,7.1,14.2,5.7,14.62
1917,4,65.6,13.4,4.49,3.6,108,64.4,5.4,12.1,18.8,7.6,10.19
1917,5,73.4,13.3,1.54,3.1,96.1,61.4,7.4,14,20.7,11.7,9.68
1917,6,60.6,16,0,4.4,132,43.1,13,21,29,17.8,13.9
1917,7,70.5,13.2,0,3.7,114.7,105.4,16.8,23.4,30,23.9,15.2
1917,8,58.8,12.5,0,3.7,114.7,107.4,16.6,22.8,29.1,22,6.09
1917,9,61.7,13.1,0,2.8,84,75.9,10.8,17.3,23.9,14.9,6.78
1917,10,53.2,16.3,10.78,2.1,65.1,127.4,2.7,10.8,19,9.5,10.24
1917,11,59.1,17.1,23.03,1.9,57,8.2,-2.7,5.9,14.5,5.9,4.9
1917,12,71.1,12.3,29.98,0.7,21.7,28.6,-9.9,-3.7,2.5,3.8,8.56
1918,1,70.4,11.8,30.65,0.7,21.7,100.3,-11.6,-5.7,0.2,3.1,15.84
1918,2,63.4,13.7,23.83,1.6,44.8,13.8,-5.1,1.8,8.7,4.4,7.42
1918,3,59.6,17.1,17.39,3.1,96.1,86.9,0.2,8.7,17.3,6.2,13.84
1918,4,70.3,13.1,6.49,3.2,96,106.9,4.4,10.9,17.5,7.6,16.12
1918,5,61.5,16.2,0,4.6,142.6,46.8,11.9,20,28.1,15.1,10.41
1918,6,59.5,15.2,0,5,150,67.9,14.5,22.1,29.7,16,9.07
1918,7,54.8,16.2,0,4.9,151.9,89.4,16.2,24.3,32.4,21.3,10.86
1918,8,58.1,16.7,0,4.1,127.1,116.4,15.7,24,32.4,23,8.48
1918,9,56,16.5,0.04,3.1,93,96.3,9.6,17.8,26.1,15.3,8.43
1918,10,52.6,17.9,1.42,3,93,44.3,7.5,16.4,25.4,12,6.45
1918,11,65.7,16.1,17.6,2,60,21.2,-0.1,8,16.1,6.8,7.82
1918,12,75.1,11.2,21.77,1.1,34.1,115.8,-1.5,4.1,9.7,6.1,14.1
1919,1,63.8,13.7,25.57,1.3,40.3,70,-4.3,2.6,9.5,5.1,12.91
1919,2,70,11.8,22.42,1.3,36.4,36.1,-3.6,2.3,8.2,5.3,10.13
1919,3,65.9,15.9,15.79,3.1,96.1,84.2,0.8,8.7,16.7,5.7,13.69
1919,4,65.1,16.7,6.71,4,120,58.5,4.3,12.6,21,7.4,12.92
1919,5,68.1,15.4,0,3.9,120.9,161.5,10.3,18,25.7,14.6,14.3
1919,6,63.1,15.6,0,4.9,147,82.2,16.1,23.9,31.7,19.8,11
1919,7,61.2,13.6,0,4.4,136.4,132.2,17.9,24.7,31.5,23.5,14.35
1919,8,59.3,13.3,0,3.7,114.7,91.9,16,22.6,29.3,21.4,9.96
1919,9,49.5,14.8,0,3.2,96,54.8,12.2,19.6,27,17.7,6.45
1919,10,64.4,13.3,0,2.5,77.5,66.8,10.6,17.2,23.9,13.7,9.64
1919,11,66.9,13.2,16.06,1.9,57,50.3,0.5,7.1,13.7,6,9.49
1919,12,64.5,12.5,28.25,0.9,27.9,58.4,-7.2,-0.9,5.4,4.2,12.4
1920,1,69.3,10.9,28.25,1.2,37.2,38.8,-7.2,-1.7,3.8,3.1,12.23
1920,2,74.4,10.5,25.04,1.4,40.6,46.1,-5.5,-0.2,5.1,3.6,11.99
1920,3,62.1,15.4,20.01,2.9,89.9,93.4,-0.8,6.9,14.6,5.1,11.65
1920,4,68.7,13.7,7.14,3.3,99,101.7,4.1,10.9,17.8,7.6,14.71
1920,5,62.8,15.9,1.78,3.6,111.6,29.5,7.2,15.1,23.1,12.5,8.74
1920,6,61.5,15.6,0,4.5,135,131,13.4,21.2,29,17.2,12.17
1920,7,61.6,15.2,0,4.2,130.2,76.3,15.1,22.7,30.3,20.9,13.51
1920,8,73.1,12.2,0,3.1,96.1,147,16.3,22.4,28.5,23,11.46
1920,9,57.4,14.3,0,3,90,87.2,12.8,19.9,27.1,18.6,9.43
1920,10,46.2,17.2,2.31,2.7,83.7,40.6,6.8,15.4,24,12.3,4.51
1920,11,77.4,10.9,13.99,1.6,48,106.6,1.3,6.7,12.2,6.5,11.84
1920,12,76.2,9.9,23.45,1,31,52.9,-2.4,2.6,7.6,5.5,12.56
1921,1,67,11.9,25.57,1.1,34.1,41.1,-4.3,1.7,7.7,5,12.26
1921,2,71.4,12.9,21.07,1.7,47.6,47.1,-2.3,4.2,10.7,5.4,10.47
1921,3,57.8,16.5,5.23,3.8,117.8,35.1,5.1,13.3,21.6,7.9,12.05
1921,4,62.2,17.5,2.96,4.2,126,49.6,6.3,15,23.8,9.6,11.55
1921,5,70,13.7,0.19,3.4,105.4,173.5,9.1,15.9,22.8,13.5,14.72
1921,6,53.4,15.8,0,5.1,153,52.5,15.7,23.6,31.5,19.2,11.08
1921,7,59.9,14.1,0,4.5,139.5,101.7,18.2,25.2,32.3,24.7,12.07
1921,8,55,15.2,0,4.4,136.4,67.5,15.8,23.4,31,19.7,7.27
1921,9,58.5,14.3,0,3.6,108,40.3,16.5,23.6,30.8,20.9,9.18
1921,10,40.8,17.8,4.45,2.9,89.9,24.8,5.5,14.4,23.3,10.1,6.92
1921,11,72.9,12.3,10.93,1.8,54,74.8,2.5,8.6,14.8,7.2,12.01
1921,12,71.4,13.8,25.36,1.2,37.2,53.7,-4.1,2.8,9.7,5.5,10.37
1922,1,71.5,12.6,28.55,0.8,24.8,80.6,-7.6,-1.3,5,4.6,16.19
1922,2,69.2,12.6,21.5,1.6,44.8,88,-2.7,3.6,9.9,5.2,11.4
1922,3,69.6,14.9,15.79,2.5,77.5,85.8,0.8,8.2,15.7,7,14.68
1922,4,66.5,15.7,3.12,3.8,114,38.4,6.2,14,21.9,9.3,8.32
1922,5,66,16.3,0,4.4,136.4,101.8,11.3,19.4,27.6,14.6,13.26
1922,6,67.4,16.2,0,4.8,144,81.2,16.1,24.2,32.3,20.2,11.32
1922,7,67,14.7,0,4.6,142.6,115.8,17.7,25,32.4,21.5,15.97
1922,8,60.4,15.9,0,3.9,120.9,80.9,14.5,22.4,30.4,21,9.63
1922,9,49.3,16.1,0,3.7,111,21.8,13.1,21.1,29.2,17.4,11.25
1922,10,47.5,18.3,3.39,2.8,86.8,55.2,6.1,15.2,24.4,12.1,6.86
1922,11,63.7,14.8,13.73,2.1,63,11.3,1.4,8.8,16.2,6.6,5.56
1922,12,68.6,14.1,24.93,1.2,37.2,78.2,-3.7,3.4,10.5,5.7,12.84
1923,1,72,10,24.37,1.1,34.1,80.5,-3.2,1.8,6.8,5.1,14.49
1923,2,73,11.2,24.18,1.4,39.2,46.9,-5.5,0.1,5.7,3.9,10.46
1923,3,61.6,15.2,19.24,2.8,86.8,91.3,-0.5,7.1,14.7,5.3,13.4
1923,4,63.1,15.9,7.82,3.7,111,73.8,3.8,11.7,19.7,7.6,13.02
1923,5,57.9,15.6,0.66,3.9,120.9,21.3,8.3,16.1,23.9,12.7,9.09
1923,6,56.2,14.9,0,4.9,147,51.4,16,23.4,30.9,19.8,10.55
1923,7,58.5,14,0,4.5,139.5,94.4,16.7,23.7,30.7,20.9,12.29
1923,8,64,12.7,0,3.6,111.6,91.9,16,22.3,28.7,20.8,9.26
